1,2,3,4,5,6,7
ÇOK ACİL AVCILAR YEŞİLKENT MAHALLESİNDE SATILIK 6 DAİRELİK BİNA,7,1.0,Doğalgaz (Kombi),120.0,4.750.000 TL,
Merkezi konum ve lokasyon da,4,1.0,Doğalgaz (Kombi),320.0,10.900.000 TL,
Bağcılarda Satılık 5000 m2 İskanlı Komple Bina,8,1.0,Yok,5.0,175.000.000 TL,
,,,,,,
ÜSKÜDAR da 6 DAİRE 1 DÜKKAN 630M2 KOMPLE BİNA,5,1.0,Doğalgaz (Kombi),630.0,30.000.000 TL,
KADIKÖY MERKEZDE 5 KATLI 250 m2 SATILIK BİNA,5,1.0,Doğalgaz (Merkezi),55.0,21.000.000 TL,
satılık bina,6,1.0,Doğalgaz (Kombi),257.0,15.500.000 TL,
ÜMRANİYE NATO YOLU MODOKO'YA YAKIN KOMPLE SATILIK BİNA,3,1.0,Doğalgaz (Kombi),115.0,16.250.000 TL,
AYBARS'DAN KADIKÖY KADİFE SOKAKTA KOPLE SATILIK BİNA,4,1.0,Doğalgaz (Kombi),360.0,31.500.000 TL,
sahibinden satılık daire temiz pazarlık olur,5,1.0,Doğalgaz (Kombi),160.0,1.950.000.000 TL,
ŞİŞLİ VE BEYOĞLU PİYALEPAŞA CADDESİNDE KURUMSAL KİRACILI BİNA,9 +,1.0,VRV,14.0,850.000.000 TL,
BALAT MERKEZ'DE SATILIK 5-KATLI BETONARME BİNA,5,1.0,Doğalgaz (Kombi),350.0,17.000.000 TL,
G.O.PAŞA 8 KATLI 5000m² KURUMSAL KİRACILI ÇİFT ASANSÖRLÜ BİNA,8,1.0,Doğalgaz (Kombi),5.0,117.500.000 TL,
SİLİVRİ SEMİZKUMLAR DA SATILIK KOMPLE BİNA,3,1.0,Doğalgaz (Kombi),230.0,9.000.000 TL,
SATİLİK 8 DAİRE 1 DÜKKAN GÖL MANZARALI,4,2.0,Doğalgaz (Kombi),480.0,12.800.000 TL,
pendik kaynarcada satılık imarlı arsa,4,1.0,Yok,334.0,7.100.000 TL,
Maltepe Yalı Mahallesi Beşçeşmeler' de Yatırımlık Eski Eser,4,1.0,Doğalgaz (Kombi),75.0,2.750.000 TL,
"""YUŞA EVİM'DEN""SIFIR SATILIK BİNA",5,1.0,Doğalgaz (Kombi),545.0,18.500.000 TL,
Sahibinden Bayrampaşa'da 4 Katlı 4 Daireli Bina Satılıktır..,4,1.0,Doğalgaz (Kombi),65.0,5.800.000 TL,
FATİH TOPKAPI ERESİN OTEL ARKASI SATILIK BİNA 60M2 KURULUM 4'KAT,4,1.0,Doğalgaz (Kombi),240.0,9.000.000 TL,
*FUL YAPILI*6 DAİRE+1 DÜKKAN*ARSA M2 168*/*KOMPLE SATILIK BİNA*,2,2.0,Doğalgaz (Kombi),168.0,15.000.000 TL,
BEYLERBEYİ KORU'DA 1970 M2 ARSA İÇİNDE BOĞAZ MANZARALI BİNA,3,2.0,Doğalgaz (Kombi),1.0,275.000.000 TL,
Sarıyer Tarabya Satılık Bina 5 Katlı Manzaralı Kiracılı Fırsat,4,1.0,Doğalgaz (Kombi),700.0,24.500.000 TL,
ACİL SATILIK BİNA KISA SÜRELİĞİNE KAÇIRILMAYACAK SÜPRİZ FİYATLI,4,1.0,Doğalgaz (Kombi),260.0,23.250.000 TL,
Kurtuluş'ta 3 Katlı Müstakil Satılık Bina,3,1.0,Doğalgaz (Kombi),100.0,4.000.000 TL,
ÇELEBİOĞLU GAYRİMENKUL BEYKOZ TOKATKÖY MAH. SATILIK BİNA,2,1.0,Doğalgaz (Kombi),238.0,2.100.000 TL,
LALELİ de SATILIK KOMPLE KONUT+TİCARİ BİNA,4,1.0,Doğalgaz (Kombi),70.0,20.000.000 TL,
ARNAVUTKÖY BOĞAZKÖY SATILIK BAHÇE KATI 2+1,1,1.0,Doğalgaz (Kombi),90.0,1.500.000 TL,
"TARİHİ BİNADA,HEM TİCARİ HEM DE KONUT YAPIMINA UYGUN SATILIK",4,1.0,Yok,400.0,40.000.000 TL,
Satılık Bina 2 katlı Kelepir Yatırım Fırsatı,2,2.0,Doğalgaz Sobası,250.0,4.400.000 TL,
BÜYÜKÇEKMECE MURATÇEŞME KOMPLE SATILIK 30.000 TL KİRACILI BİNA,4,1.0,Doğalgaz (Kombi),137.0,4.400.000 TL,
BEYOĞLU PERA'DA 2 DÜKKAN 2 DAİRELİ 2 KATLI 140m2 SATILIK BİNA,2,1.0,Klima,140.0,8.750.000 TL,
KUMKAPI CADDE CEPHE SATILIK TİCARİ BİNA,5,2.0,Klima,300.0,57.000.000 TL,
Kartal Merkez Satılık 4 Katlı Bina,4,1.0,Doğalgaz (Kombi),125.0,9.500.000 TL,
Sahibinden Ömer Hayyam Caddesinde Boş Bina,5,1.0,Doğalgaz (Kombi),69.0,16.500.000 TL,
TAKSİM BEYOĞLU HARİKA KONUMDA HOTEL KİRACILI KOMPLE SATILIK BİNA,6,3.0,Klima,500.0,59.000.000 TL,
KUMBURGAZ E5 SIFIR 620M ARSA ICINDE 3 KATLI BİNA TİCARİ,3,1.0,Doğalgaz (Kombi),300.0,18.500.000 TL,
Koşuyolu 'nda fırsat SATILIK Müstakil bina,5,1.0,Doğalgaz (Kombi),400.0,29.000.000 TL,
Kocamustafapaşa Dolmuş Duraklarında 4 Katlı Bina,4,1.0,Soba,65.0,6.000.000 TL,
İSTANBUL TARİHİNİN KALBİ BALATTA SATILIK BİNA,3,1.0,Doğalgaz (Kombi),170.0,7.750.000 TL,
KENTSEL DÖNÜŞÜM UYGUN KAT KARŞILIĞI VEYA SATILIK APARTMAN,4,1.0,Doğalgaz (Kombi),600.0,10.000.000 TL,
Akşemsettin Mahallesi Sahibinden Satılık Bina,4,1.0,Soba,164.0,11.000.000 TL,
ABDULLAH ALTUĞDAN A.DUDULLUDA SATILIK 2 YILLIK 3 KATLI BİNA ARSA,4,1.0,Doğalgaz (Kombi),500.0,15.450.999 TL,
Tuzla Mimar Sinanda Yatırımlık Uygun Satılık Bina,3,1.0,Doğalgaz (Kombi),354.0,6.500.000 TL,
TOPOSMANOĞLU EMLAK'TAN BİNA,2,1.0,Doğalgaz (Kombi),500.0,11.250.000 TL,
HÜLYA EMLAK'TAN KASIMPAŞA'DA KOMPLE SATILIK BINA,5,1.0,Doğalgaz (Kombi),80.0,8.500.000 TL,
LİBADİYE KÖŞE PARSEL EMAAR YAKINI KOMPLE BİNA,4,1.0,Doğalgaz (Merkezi),1.15,66.000.000 TL,
TUNCAY'DAN 80.000TL HAZIR KİRACILI YATIRIMLIK FIRSAT KOMPLE BİNA,4,2.0,Doğalgaz (Kombi),320.0,12.400.000 TL,
Asmalı Mescit'te Merkezi Lokasyonda Dükkanlı 3Katlı Satılık Bina,3,2.0,Yok,650.0,49.990.000 TL,
BALAT FENER KIRMIZI RUM OKULU KARŞISINDA SATILIK 4 KATLI BİNA,4,1.0,Doğalgaz (Kombi),314.0,8.850.000 TL,
kağıthanede yatırımlık satılık 4 daire bir dukkan,5,1.0,Doğalgaz (Kombi),58.0,21.000.000 TL,
TALATPAŞA'DA OTURUM 145M2 6 DAİRE METROBÜSE 3 DK KOMPLE BİNA,3,2,Doğalgaz (Kombi),145.0,9.600.000 TL,
SEFAKÖY İNÖNÜ MAH.'DE HASTANEYE YAKIN 3 KATLI SATILIK BİNA,3,1,Doğalgaz (Kombi),120.0,7.500.000 TL,
SATILIK KÖŞE BİNA ( İŞLETMEYE AÇILMAMIŞ KURULU SIFIR OTEL),5,5 +,Doğalgaz (Kombi),550.0,117.500.000 TL,
,,,,,,
ÜSKÜDAR BULGURLUDA SATILIK BİNA,3,3,Doğalgaz (Kombi),500.0,55.000.000 TL,
Fatih Haseki Mh. Komple Satılık Bina مبنى كامل للبيع في الفاتح,4,1,Doğalgaz (Kombi),480.0,14.500.000 TL,
MİNİMALİST GARİMENKUL'DEN EYÜP NİŞANCI MAH. SATILIK BİNA,4,1,Doğalgaz (Kombi),500.0,15.500.000 TL,
MERKEZİ KONUMDA KOMPLE MÜSTAKİL BİNA...,4,1,Doğalgaz (Kombi),350.0,19.750.000 TL,
Doğadan acil fiyata uygun komple yenilenmiş 4 Katlı şahane bina,4,1,Doğalgaz (Kombi),190.0,11.250.000 TL,
HARBİYE´DE TAKSİM´E YAKIN APART OTELE UYGUN 3KATLI MÜSTAKİL BİNA,3,1,Doğalgaz (Kombi),210.0,14.000.000 TL,
PENDİKTE SATILIK MÜSTAKİL BİNA,2,2,Doğalgaz (Kombi),257.0,15.500.000 TL,
GÖKBAŞ EMLAKTAN DERVİŞ ALİ MAH.SATILIK 3KATLI BİNA,3,1,Doğalgaz (Kombi),60.0,5.000.000 TL,
MEVLANA EMLAKTAN EYÜP AKŞEMSETTİN MAH SATILIK BİNA,3,1,Doğalgaz (Kombi),144.0,7.200.000 TL,
İSLAMBEY MAHALLESİ 4 YOLA CEPHE OTOPARKLI BİNA,6,1,Doğalgaz (Kombi),125.0,18.500.000 TL,
E-5 YANYOL A 1 SOKAK PARALEL 5 KATLI SATILIK BİNA,5,1,Doğalgaz (Kombi),226.0,29.500.000 TL,
Balat bölgesinde 4 katlı satılık lüks bina,4,1,Doğalgaz (Kombi),205.0,34.863.708 TL,
ZEYTİNBURNU SATILIK BİNA,6,2,Doğalgaz (Kombi),1.05,27.000.000 TL,
MERKEZİ KONUMDA 229 Mt ARSASI 4 Katlı 800 Mt SATILIK BİNA,4,1,Yok,800.0,25.000.000 TL,
AYBARS'DAN KADİKÖY ÇARŞİDA HAREKETLİ LOKASYONDA SATILIK BİNA,3,3,Doğalgaz (Kombi),110.0,19.500.000 TL,
Evgör emlak'dan cihangirde satılık bina,3,1,Doğalgaz (Kombi),210.0,11.500.000 TL,
BAKIRKÖY ÇARŞI İÇİNDE SATILIK KOMPLE BİNA,5,1,Yok,480.0,75.000.000 TL,
SEFAKÖY İNÖNÜ MAH ANA CADDE ÜZERİ SATILIK KOMPLE BİNA,3,1,Doğalgaz (Kombi),550.0,18.000.000 TL,
KADIKÖY ALTIYOLDA MÜKEMMEL SATILIK BİNA,5,2,Klima,800.0,42.000.000 TL,
Satılık kahve olarak tasarlanmış 4 katlı bina-YATIRIM İÇİN UYGUN,4,1,Doğalgaz (Kombi),205.0,11.100.000 TL,
Kadıköy Mühürdar Cad. Kurumsal Kiracılı Satılık Bina,5,1,Doğalgaz (Kombi),1.6,125.000.000 TL,
ES EMLAKTAN BAĞLAR CADDESİNDE SATILIK BİNA!!!,6,2,Doğalgaz (Kombi),132.0,16.250.000 TL,
KAĞITHANE'DE MÜSTAKİL GİRİŞLİ 3 KATLI SATILIK BİNA,3,1,Doğalgaz (Kombi),165.0,4.999.000 TL,
KARTAL YALI MA'DE 215 mt2 ARSA İÇİNDE KOMPLE SATILIK BİNA,2,1,Doğalgaz (Kombi),215.0,8.500.000 TL,
Avcılar Gümüşpala Palmiye Sk. E5 Paralelinde Komple Satılık Bina,5,2,Doğalgaz (Kombi),250.0,27.500.000 TL,
Satılık bina,5,2,Doğalgaz (Kombi),145.0,18.000.000 TL,
BEYKOZ 'DA MÜSTAKİL TAPULU 200 M2 ARSA İÇERİSİNDE FIRSAT 2 DAİRE,2,1,Doğalgaz (Kombi),220.0,7.650.000 TL,
CİHANGİR'DE BOĞAZ MANZARALI KOMPLE SATILIK TARİHİ KÖŞE BİNA,7,2,Doğalgaz (Merkezi),1.0,150.000.000 TL,
SIRASELVİLER VE KENT ÜNİ.'NE 20 M MESAFEDE BAKIMLI SATILIK BİNA,6,1,Doğalgaz (Kombi),875.0,103.250.000 TL,
ANADOLUHİSARINDA MÜSTAKİL 3 KATLI SATILIK BİNA,3,1,Doğalgaz (Kombi),340.0,14.000.000 TL,
FENER HALİÇPORT MANZARALI KÖŞEBAŞI GETİRİSİ YÜKSEK DÜKKANLI BİNA,5,1,Doğalgaz (Kombi),600.0,110.000.000 TL,
İKRAM'dan FEVZİPAŞA CAD ÜZERİ KOMPLE SATILIK BİNA 695 M2 ARSA,6,1,Doğalgaz (Kombi),695.0,115.000.000 TL,
ÜSKÜDAR SAHİL 300m2 KREDİYE UYGUN MANZARALI 5 BÖLÜM SATILIK BİNA,6,1,Doğalgaz (Kombi),300.0,28.000.000 TL,
SATILIK 3 KATLI BINA açıklamayı okumadan aramayın lütfen,3,1,Doğalgaz (Kombi),248.0,13.000.000 TL,
AİRBNB UYGUN KOMPLE YENİLENMİŞ SATILIK 4 DAİRELİ BİNA,5,1,Doğalgaz (Kombi),300.0,12.950.000 TL,
CEVATPAŞA MAH.'DE EMSALSİZ KONUMDA 148M² KOMPLE SATILIK BİNA,4,1,Doğalgaz (Kombi),148.0,11.950.000 TL,
FDN'den İnşaatı Yeni Bitmiş Asansörlü Boğaz Manzaralı Otel Uygun,7,2,Yerden Isıtma,2.25,445.000.000 TL,
Kadıköy Kızıltoprak'da Yatırımlık Satılık Fırsat Dükkanlı Bina,4,1,Doğalgaz (Kombi),45.0,10.800.000 TL,
Ümraniye Alemdağ Caddesi'nde Satılık Komple Plaza,9 +,1,VRV,4.4,200.000.000 TL,
KALEMDEN SATILIK BİNA,3,1,Doğalgaz (Kombi),114.0,8.900.000 TL,
ALİBEYKÖY MERKEZDE 4 DAİRE 2 DÜKKAN KOMPLE SATILIK BİNA,4,1,Doğalgaz (Kombi),650.0,51.000.000 TL,
BÖLGE DE EMSALİ OLMAYAN KOMPLE SATILIK BİNA,8,1,Doğalgaz (Kombi),3.6,250.000.000 TL,
ACIL KELEPİR FİYATINA KOMPLE SATILIK BİNA,4,1,Doğalgaz (Kombi),50.0,7.900.000 TL,
FIRSAT!!! ARNAVUTKÖY 'DE SATILIK SIFIR YAPILI BİNA,5,1,Doğalgaz (Kombi),350.0,11.750.000 TL,
BEŞİKTAŞ ASARİYE CADDESİNDE KOMPLE SATILIK BİNA,6,1,Doğalgaz (Kombi),240.0,38.000.000 TL,
KÜÇÜKÇEKMECE SATILIK YENİ İSKANLI BİNA,5,1,Doğalgaz (Kombi),72.0,7.750.000 TL,
KURUMSAL KİRACILI ANA CADDEDE VATANDAŞLIĞA VE KREDIYE UYGUN,5,1,Doğalgaz (Kombi),188.0,22.500.000 TL,
Acil satılık bina,3.0,1,Doğalgaz (Kombi),130.0,4.500.000 TL,
Ümraniye'de 214 M2 Arsada 5 Adet 600 M2 Müstakil Daire,3.0,2,Doğalgaz (Kombi),600.0,12.000.000 TL,
"TARABYA FERAHEVLERDE ""KELEPİR"" SATILIK 4 KATLI BİNA",4.0,1,Doğalgaz (Kombi),120.0,13.750.000 TL,
,,,,,,
GAZİOSMANPAŞA'NIN EN İŞLEK CADDESİNDE SATILIK KOMPLE BİNA,4.0,1,Doğalgaz (Kombi),440.0,17.900.000 TL,
ŞİŞLİ OSMANBEY SATILIK BİNA,3.0,1,Doğalgaz (Kombi),180.0,7.750.000 TL,
Boğaz Manzaralı İstinye Park ve İMKB'ye Yakın 4 Daireli Bina,4.0,1,Doğalgaz (Kombi),574.0,22.000.000 TL,
*Orhan Kurt*ÜMRANİYE PARSELLERDE CADDE YANINDA ARSA VE BİNASI,2.0,1,Doğalgaz (Kombi),300.0,8.500.000 TL,
Avcılarda satılık 24 yaşında kat mülkiyetli komple Bina,4.0,2,Doğalgaz (Kombi),1.2,21.000.000 TL,
FIRSAT!! BÜYÜKÇEKMECE DENİZ VE GÖL MANZARALI KOMPLE SATILIK BİNA,5.0,1,Doğalgaz (Kombi),283.0,17.250.000 TL,
CB KANYON'dan İSTANBUL BÜYÜKÇEKMECE KAMİLOBA'da 5 KATLI BİNA,5.0,5 +,Doğalgaz (Kombi),1.6,32.100.000 TL,
ÜMRANİYE ALTINŞEHİR MAH. KAÇIRILMAYACAK FIRSAT BİNA VE DÜKKAN!,3.0,1,Doğalgaz (Kombi),500.0,16.500.000 TL,
DEKOMİM EMLAKTAN 140 M2 3+1 LİK ÖZEL LÜX YAPIM KÖŞE BİNA,6.0,1,Doğalgaz (Kombi),140.0,57.000.000 TL,
KUMKAPI'DA 4 KATLI 1+1 SATILIK BİNA,4.0,1,Doğalgaz (Kombi),228.0,29.058.950 TL,
GEDİKPAŞA DA 37 M2 ARSA ÜZERİ 5 KATLI TARİHİ BİNA,5.0,1,Doğalgaz (Kombi),269.0,7.000.000 TL,
TOPRAK İNŞAAT...PİYASA İÇİNDE 2 DÜKKAN + 7 DAİRELİ KOMPLE BİNA!!,6.0,2,Doğalgaz (Kombi),160.0,30.000.000 TL,
GÜNDOĞDU EMLAKTAN METROYA YAKIN SATILIK BİNA,4.0,1,Doğalgaz (Kombi),192.0,14.000.000 TL,
''YATIRIMLIK YENİLENMİŞ 6 KATLI SATILIK BİNA'',6.0,1,Doğalgaz (Kombi),45.0,46.496.000 TL,
ESEN EMLAK ARACILIĞIYLA *** İSKANLI KAT MÜLKİYETLİ SATILIK BİNA,2.0,1,Doğalgaz (Kombi),380.0,21.000.000 TL,
ŞİŞLİ KURTULUŞ'TA 2 KATLI AİRBNB UYGUN YENİ SATILIK BİNA,2.0,1,Doğalgaz (Kombi),264.0,4.700.000 TL,
KW FATOŞ'TAN TAKSİM İSTİKLAL CADDESİ'NİN 1. BÖLGESİ'NDE BİNA,7.0,1,Yok,840.0,42.000.000 TL,
Büyükçekmece Beykent'te 271 M2 Satılık Ticari Bina,3.0,2,Doğalgaz (Kombi),271.0,46.000.000 TL,
İnönü Caddesinde 4 Adet Daire 1 Adet 250m2 Dükkanlı Satılık Bina,6.0,1,Doğalgaz (Kombi),750.0,14.000.000 TL,
ELİTE HOUSEDAN KOMPLE SATILIK BİNA,5.0,1,Doğalgaz (Kombi),204.0,17.250.000 TL,
FATİH KIZTAŞINDA YATIRIMLIK YABANCILARA UYGUN BİNA,4.0,1,Doğalgaz (Kombi),350.0,25.000.000 TL,
"BALAT'TA HALİÇ MANZARALI, CUMBALI SATILIK TARİHİ BİNA",5.0,1,Doğalgaz (Kombi),139.0,8.750.000 TL,
ÜSKÜDAR MERKEZDE SATILIK SIFIR BİNA VE DÜKKANLAR,6.0,1,Doğalgaz (Kombi),430.0,44.000.000 TL,
Taksim Meydan'a 5 dk.Yatırım Fırsatı komple bina 4 katlı/7 daire,4.0,2,Doğalgaz (Kombi),400.0,17.975.000 TL,
MÜSTAKİL.2.KATLI YENİKÖYDE,2.0,2,Doğalgaz (Kombi),100.0,10.000.000 TL,
Şişli Merkezi Lokasyonda Satılık Bina,5.0,1,Doğalgaz (Kombi),350.0,37.950.000 TL,
B.PAŞA ORTA MH. 4 KATLI KİRA GETİRİSİ YÜKSEK SATILIK BİNA,4.0,1,Doğalgaz (Kombi),70.0,7.950.000 TL,
Sahibinden Bahçeli 4 Katlı Komple Bina ve Arsası,4.0,1,Doğalgaz (Kombi),150.0,27.700.000 TL,
ÜÇ DAİRELİ KOMPLE BİNA MERKEZDE,3.0,3,Doğalgaz (Kombi),300.0,4.750.000 TL,
TAKSİM MEYDANA ÇOK YAKIN OTEL OLMAYA UYGUN SATILIK BİNA,6.0,1,Doğalgaz (Kombi),432.0,20.500.000 TL,
YEDİTEPE BAYKAL CADDESİ ÜZERİ HARİKA KONUMDA BİNA,5.0,1,Doğalgaz (Kombi),145.0,20.000.000 TL,
"ATAŞEHİR KAYIŞDAĞI, YEDİTEPE ÜNİ. YE 1000 METRE",4.0,2,Doğalgaz (Merkezi),217.0,3.800.000 TL,
Komple Bina,5.0,1,Doğalgaz (Kombi),130.0,35.000.000 TL,
SAHİBİNDEN DAP YAPI EMLAK OFİSİ YAKININDA 5 DAİRELİ BİNA,2.0,2,Doğalgaz (Kombi),290.0,15.250.000 TL,
BEBEK DE 1 DÖNÜM ARSA İÇERİSİNDE SATILIK KÖŞK VE ARSA,4.0,1,Doğalgaz (Kombi),600.0,150.000.000 TL,
EMİRGANDA PANORAMİK BOĞAZ MANZARALI 4 KATLI BİNA,4.0,1,Doğalgaz (Kombi),648.0,117.000.000 TL,
MİMAR SİNAN MAHALLESİNDE MÜSTAKİL SATILIK 2 KATLI BİNA,2.0,1,Doğalgaz (Kombi),140.0,3.600.000 TL,
K.ÇEKMECE TEPEÜSTÜ KURUMSAL KİRACILI SATILIK 8 KATLI BİNA,8.0,1,Doğalgaz (Kombi),3.2,94.000.000 TL,
ADNAN KAHVECİ BULVARINDA METROBÜSE 5 DK 4 KATLI BİNA ARAÇ TAKASI,4.0,1,Doğalgaz (Kombi),100.0,11.750.000 TL,
ÜMRANİYE DUDULLU ESENŞEHİR'DE KOMPLE SATILIK BİNA,4.0,2,Doğalgaz (Kombi),790.0,15.000.000 TL,
CİHANGİR FİRUZAĞA SATILIK 10 DAİRELİ YENİ BİNA FOR SALE REALTY,5.0,2,Doğalgaz (Kombi),900.0,50.000.000 TL,
FATİH SULTANAHMET AKBIYIK CADDESİ'NDE SATILIK VİTRİN BİNA,3.0,1,Doğalgaz Sobası,90.0,19.800.000 TL,
Satılık Mükemmel Ötesi Bu Fiyata Yok! Fiyat Düştü! Yok Doğalgaz (Kombi),5.0,1,Doğalgaz (Kombi),145.0,32.100.000 TL,
Ataşehir İçerenköy'de Yatırımlık Satılık Bina...,2.0,1,Doğalgaz (Kombi),300.0,12.000.000 TL,
MALTEPE TÜLİN CADDESİ'NDE EMSALSİZ SATILIK KOMPLE BİNA,3.0,2,Doğalgaz (Kombi),930.0,32.000.000 TL,
BEYOĞLU ASMALI MESCİT MEŞRUTİYET CADDESİ ÜZERİNDE SATILIK BİNA,5.0,1,Doğalgaz (Kombi),600.0,89.000.000 TL,
AYAZMA CADDESİNDE MÜSTAKİL (2 KATLI ) CAM GİYDİRME SIFIR BİNA,2.0,1,Doğalgaz (Kombi),100.0,12.000.000 TL,
FATİH'TE 1506 M2 KAPALI ALANI OLAN 614 M2 BAHÇELİ BİNA,5.0,1,Doğalgaz (Kombi),1.506,80.000.000 TL,
FATİH'TE 1506 M2 KAPALI ALANI OLAN 614 M2 BAHÇELİ BİNA,5,1,Doğalgaz (Kombi),1.506,80.000.000 TL,
Kapali Çarsi bitisigi satilik bina,5,5 +,Yok,375.0,70.000.000 TL,
SATILIK 4 KATLI BİNA %90 HİSSELİ %10 BULUNMAMAKTA 45m2,4,1,Doğalgaz (Kombi),45.0,4.500.000 TL,
,,,,,,
MENEKŞE GAYRİMENKUL DEN SULUKULE DE SATILIK BİNA 6+3,2,2,Doğalgaz (Kombi),310.0,22.250.000 TL,
ACİL SATILIK BİNA RESMİ İMAR ALINDI,3,3,Doğalgaz (Kombi),150.0,6.690.000 TL,
ANA CADDE ÜZERİNDE SATILIK BİNA (AÇIKLAMAYI OKUYUNUZ),4,2,Doğalgaz (Kombi),300.0,7.650.000 TL,
Maltepe Esenkentte Satılık 437m²Arsa İçerisinde 5 Daireli Bina,3,2,Doğalgaz (Kombi),437.0,16.500.000 TL,
420M2 ARSA İÇERİSİNDE - 3 DAİRE - 1 BODRUM KAT,3,1,Doğalgaz (Kombi),420.0,10.000.000 TL,
BEŞİKTAŞ ABASAĞA DA 4 KATLI SIFIR BİNA,4,1,Doğalgaz (Kombi),150.0,7.450.000 TL,
YEDİTEPE ÜNİV. KARŞISINDA 5KATLI KOMPLE SATILIK BİNA,5,1,Doğalgaz (Kombi),192.0,19.000.000 TL,
BOMONTİ'DE 6 KATLI SATILIK BİNA OTEL İÇİN UYGUN,6,1,Doğalgaz (Kombi),1.2,70.000.000 TL,
BEYOĞLU DA SATILIK APARTLIK BINA,7,2,Doğalgaz (Kombi),490.0,38.000.000 TL,
PENDİK GÜLLÜBAĞLAR METROYA YAKIN SATILIK İSKANLI KOMPLE BİNA,7,2,Doğalgaz (Kombi),1.4,57.000.000 TL,
Beyoğlu Hasköy'de Haliçport'a Komşu Deniz Manzaları Satılık Bina,8,1,Doğalgaz (Kombi),830.0,41.500.000 TL,
Kurtuluş ta satılık komple yeni bina,6,1,Doğalgaz (Kombi),45.0,11.000.000 TL,
İSTANBUL B.DÜZÜ KAVAKLI DA 665 M2 ÜZERİNDE SATILIK KOMPLE BİNA,6,3,Doğalgaz (Kombi),665.0,74.500.000 TL,
SİLİVRİ CUMHURİYET MAHALLESİ DENİZ MANZARA SATILIK 3.5 KAT BİNA,3,1,Doğalgaz (Kombi),239.0,5.750.000 TL,
